gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3969401326,f0b88eb8-cfc1-4989-861d-30521645ce11,NEON06N2C,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,L.,US,Northeast (D01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969192967,d8cd16ba-bb74-4420-821e-083f2bac17c2,KJ593083,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,,US,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967701323,95c938a8-f762-11e1-a439-00145eb45e9a,d9d87f2f-0f6b-4a91-8fe7-9bc824d9b6d0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,,US,Jingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966013337,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,A888E112-58D5-445A-9F6B-9572549F72A8,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,L.,US,Forbes State Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949998352,9781ce05-2379-4a10-ab3b-c91346510df8,d1e0501c-ed72-41b0-a6d7-df5e2c53b3d2,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,L.,US,3 miles SE of center of Richland Center.,Wisconsin,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,43.308333,-90.326944,,,275,,,,2018-08-13T00:00:00,13,8,2018,2880539,2880539,PRESERVED_SPECIMEN,RSA,VascularPlants,RSA0446669,64450,M. Nee,2018-01-01T00:00:00,CC_BY_NC_4_0,,M. H. Nee,,,2022-12-01T21:05:58.449Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3949988353,9781ce05-2379-4a10-ab3b-c91346510df8,487c377d-f5bf-4f35-8191-204a4cc5f108,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra,L.,US,3 miles SE of center of Richland Center.,Wisconsin,PRESENT,,55807027-6d78-46bd-b2cb-301295ee35aa,43.308333,-90.327778,,,265,,,,2018-08-15T00:00:00,15,8,2018,2880539,2880539,PRESERVED_SPECIMEN,RSA,VascularPlants,RSA0445389,64453,M. Nee,2018-01-01T00:00:00,CC_BY_NC_4_0,,M. H. Nee,,,2022-12-01T21:05:51.984Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3925876476,93ec984b-d117-4092-814c-1202a8532b7f,c82dca4b-6d7b-418f-9727-50ebbffa6304,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,maxima,VARIETY,Quercus borealis var. maxima (Marshall) Ashe,Quercus borealis var. maxima,(Marsh.) Ashe,US,Nanih Waiya State Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925876462,93ec984b-d117-4092-814c-1202a8532b7f,b2db2ea4-2a11-482a-94a9-ac2e45bfa073,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus borealis F.Michx.,Quercus borealis,Michx. f.,US,Front of Union Bldg; Univ of Mississippi campus.,Mississippi,PRESENT,,3be011d4-fcc3-4352-a5a2-ddd0dc506135,34.367131,-89.533969,,,,,,,1996-06-29T00:00:00,29,6,1996,9231809,2880539,PRESERVED_SPECIMEN,MISS,,MISS0018488,s.n.,,,CC_BY_4_0,,M. B. Huneycutt,,,2022-11-25T08:04:54.986Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION
3925876461,93ec984b-d117-4092-814c-1202a8532b7f,ec52c84b-ea6c-4eca-b53f-cd531e5d7d67,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus borealis F.Michx.,Quercus borealis,Michx. f.,US,Ca 8 mi SW of Batesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925876459,93ec984b-d117-4092-814c-1202a8532b7f,3236a212-6924-45a0-a5f4-e1b19649c23d,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus borealis F.Michx.,Quercus borealis,Michx. f.,US,11.6 mi E of Tunica on Prichard Road,Mississippi,PRESENT,,3be011d4-fcc3-4352-a5a2-ddd0dc506135,34.699618,-90.178917,10328,,,,,,1967-07-07T00:00:00,7,7,1967,9231809,2880539,PRESERVED_SPECIMEN,MISS,,MISS0018490,67593,,,CC_BY_4_0,,Thomas M. Pullen,,,2022-11-25T08:04:54.985Z,StillImage,AMBIGUOUS_INSTITUTION
