id,paper_id,primers,longitude,latitude,continent,sample_type,ITS1_extracted,ITS2_extracted,ITS_total,Biome,MAT,MAP,pH,year_of_sampling,manipulated,abundances
8,Odriozola_2020_GA,gITS7/ITS4,16.7671,49.3253,Europe,soil,0,3292,3292,forest,8,607,4.62,2014,FALSE,2
26,Farrer_2019_50DE,ITS1F/ITS2,-105.636,40.052,North America,soil,35738,0,35738,tundra,-3.3,735,5.35,2015,FALSE,15
59,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,86693,86693,forest,1.6,512,4.825,2017,FALSE,6
90,Hartmann_2012_B1A3,ITS3/ITS4,-120.353,50.8942,North America,soil,0,301884,301884,forest,4.8,427,NA_,NA_,FALSE,2219
91,UOBC_2016_5CA6,ITS3/ITS4,-120.35,50.88,North America,soil,0,4810,4810,forest,5.5,412,NA_,2010,FALSE,183
102,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.17,27.12,Asia,topsoil,0,426064,426064,forest,1.2,1179,NA_,2017,FALSE,12
143,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.17,27.12,Asia,topsoil,0,912515,912515,forest,1.2,1179,NA_,2014,FALSE,45
214,Franzetti_2020_GF,ITS1F/ITS2,10.5849,46.4053,Europe,soil,1523116,0,1523116,tundra,-1.5,960,6.05,2015,FALSE,3089
242,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.17,27.12,Asia,topsoil,0,684514,684514,forest,1.2,1179,NA_,2014,FALSE,1
245,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.17,27.12,Asia,topsoil,0,541255,541255,forest,1.2,1179,NA_,2014,FALSE,5
269,Jiao_2020_IB,ITS5/ITS2,125.28,43.86,Asia,soil,70358,0,70358,cropland,5.8,642,6.58,2017,FALSE,1
270,Egidi_2018_75FE,ITS1F/ITS4,144.5,-37.47,Australia,soil,392287,638,392925,grassland,12.1,725,NA_,2015,FALSE,4
273,GonzalezTeuber_2020_7EAE,ITS1F_KYO1/ITS2_KYO1,-72.18,-40.65,South America,shoot,319681,2,319683,forest,10.2,1403,NA_,2015,FALSE,1
287,Mikryukov_2021_SP,fITS7/ITS4,59.827,56.85,Asia,litter,0,21630,21630,forest,1.7,519,5.005,2017,FALSE,20
289,Sun_2021_PK,gITS7ngs/ITS4ngsUni,100.17,27.12,Asia,topsoil,0,1431260,1431260,forest,1.2,1179,NA_,2017,FALSE,25
322,Farrer_2019_50DE,ITS1F/ITS2,-105.623,40.0572,North America,soil,13698,0,13698,tundra,-2.2,603,4.66,2015,FALSE,18
